Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
32.0,35.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
33.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
37.5,37.5,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,-4.5
33.0,35.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
33.0,35.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
33.0,35.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
33.0,35.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
33.0,35.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
35.0,35.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
35.0,35.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
32.5,36.0,32.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.5
34.0,37.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
34.0,36.0,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
35.0,39.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
37.0,37.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
37.0,37.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
35.0,38.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
35.0,37.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
37.0,37.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
36.0,42.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
50.0,65.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0
55.0,65.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0
55.0,60.0,55.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5
1200.0,1200.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0
1100.0,1150.0,1100.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
1050.0,1150.0,1050.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
55.0,55.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
52.5,52.5,47.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.5
1225.0,1225.0,1150.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-25.0
50.0,52.5,47.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.5
1175.0,1225.0,1175.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
1200.0,1350.0,1200.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0
52.5,60.0,52.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5
52.5,57.5,51.25,53.75,0.0,0.0,0.0,0.0,0.0,0.0,6.25,1.25
60.0,72.5,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,10.0
1625.0,1800.0,1625.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0
75.0,80.0,67.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-5.0
70.0,70.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-10.0
65.0,65.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-5.0
65.0,65.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-5.0
60.0,65.0,57.5,57.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-2.5
62.5,62.5,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-7.5
55.0,60.0,53.75,53.75,0.0,0.0,0.0,0.0,0.0,0.0,6.25,-1.25
55.0,56.25,52.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,3.75,-2.5
47.5,55.0,47.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.0
47.5,55.0,47.5,51.25,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.75
50.0,52.5,47.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
